id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
212283,SIE-1998-1-131-87.1,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""Dow Jones International News ,1998-08-28,West African Jets Bomb Sierra Leonean Rebels""",Dow Jones International News,1998-08-28,West African Jets Bomb Sierra Leonean Rebels,"Gen. Abu Ahmadu, a spokesman for the Nigerian-led West African intervention force known as ECOMOG",3,Koinadugu district,Komadugu district,Northern province,Koinadugu district,9.5,-11.5,POINT (-11.5 9.5),143618,Sierra Leone,451,Africa,1,1,1998-08-25 00:00:00.000,1998-08-25 00:00:00.000,0,7,0,0,7,7,7,451.0,
212284,SIE-1998-1-131-86.3,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""Dow Jones International News ,1998-08-28,West African Jets Bomb Sierra Leonean Rebels""",Dow Jones International News,1998-08-28,West African Jets Bomb Sierra Leonean Rebels,"Gen. Abu Ahmadu, a spokesman for the Nigerian-led West African intervention force known as ECOMOG",3,Bombali district,Bombali district,Northern province,Bombali district,9.333333,-12.25,POINT (-12.25 9.333333),142896,Sierra Leone,451,Africa,1,1,1998-08-25 00:00:00.000,1998-08-25 00:00:00.000,0,12,0,0,12,12,12,451.0,
38689,SIE-1998-1-131-21,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Adeshina, ""The reversed victory"", 119",,,,,2,Koinadugu town,Koinadagu town (near),Northern province,Koinadugu district,9.53333,-11.36667,POINT (-11.36667 9.53333),143618,Sierra Leone,451,Africa,1,2,1998-08-27 00:00:00.000,1998-08-28 00:00:00.000,0,2,0,0,2,2,2,451.0,
212287,SIE-1998-1-131-88.1,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""Xinhua News Agency,1998-09-16,ECOMOG Recaptures 4 Villages in Northern S. Leon""",Xinhua News Agency,1998-09-16,ECOMOG Recaptures 4 Villages in Northern S. Leon,local missionaries,1,Kukuna village,Kakuna village,Northern province,Kambia district,9.4,-12.66667,POINT (-12.66667 9.4),142895,Sierra Leone,451,Africa,1,1,1998-09-14 00:00:00.000,1998-09-14 00:00:00.000,0,3,0,0,3,3,3,451.0,
212289,SIE-1998-1-131-88.2,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""Xinhua News Agency,1998-09-16,ECOMOG Recaptures 4 Villages in Northern S. Leon""",Xinhua News Agency,1998-09-16,ECOMOG Recaptures 4 Villages in Northern S. Leon,local missionaries,3,Kambia district,Kambia district,Northern province,Kambia district,9.166667,-12.75,POINT (-12.75 9.166667),142895,Sierra Leone,451,Africa,1,1,1998-09-14 00:00:00.000,1998-09-14 00:00:00.000,0,7,0,0,7,7,7,451.0,
212290,SIE-1998-1-131-89,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""Reuters News,1998-09-27,Mistaken identity leads to S.Leone militia deaths""",Reuters News,1998-09-27,Mistaken identity leads to S.Leone militia deaths,,5,Northern Sierra Leone,outside Kalangba in the north of the country,,,9.25,-11.75,POINT (-11.75 9.25),142897,Sierra Leone,451,Africa,1,1,1998-09-24 00:00:00.000,1998-09-24 00:00:00.000,0,0,0,50,50,50,50,451.0,
38593,SIE-1998-1-131-40,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-10-02 ""Peacekeepers retake S.Leone gold town from rebels",,,,military sources,1,Sandaru town,Sandaru town,Eastern province,Kenema district,7.770833,-11.040556,POINT (-11.040556 7.770833),140738,Sierra Leone,451,Africa,2,2,1998-09-26 00:00:00.000,1998-09-29 00:00:00.000,0,0,0,20,20,20,20,451.0,
38342,SIE-1998-1-131-27,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-10-03 ""Fighting in western Sierra Leone, civilians flee",,,,Guinean ECOMOG officer,3,Kambia district,Kambia district,Northern province,Kambia district,9.166667,-12.75,POINT (-12.75 9.166667),142895,Sierra Leone,451,Africa,2,2,1998-09-28 00:00:00.000,1998-10-03 00:00:00.000,0,0,0,0,0,50,0,451.0,
38404,SIE-1998-1-131-82,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002""",No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002,,1,Rogberi Junction,Rogberi Junction,Northern province,Port Loko district,8.709614,-12.677553,POINT (-12.677553 8.709614),142175,Sierra Leone,451,Africa,1,2,1998-09-28 00:00:00.000,1998-09-30 00:00:00.000,4,0,0,0,4,20,4,451.0,
38288,SIE-1998-1-131-28,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-10-09 ""Rebel attack on Sierra Leone town kills 25""; 1998-10-11 ""Sierra Leone loyalist forces secure key bridge",,,,ECOMOG,1,Mange town,Mange town,Northern province,Port Loko district,8.916667,-12.85,POINT (-12.85 8.916667),142175,Sierra Leone,451,Africa,2,2,1998-10-07 00:00:00.000,1998-10-10 00:00:00.000,0,0,13,48,61,61,61,451.0,
38484,SIE-1998-1-131-68,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002""",No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002,,1,Tombodu town,Tombodu town,Eastern province,Kono district,8.701083,-11.010475,POINT (-11.010475 8.701083),142178,Sierra Leone,451,Africa,1,4,1998-10-20 00:00:00.000,1998-10-31 00:00:00.000,0,41,0,0,41,41,41,451.0,
38476,SIE-1998-1-131-41,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-10-25 ""Leone rebels behead, chop arms from townspeople",,,,0,1,Alikalia town,Alikalia town,Northern province,Koinadugu district,9.166667,-11.4,POINT (-11.4 9.166667),142898,Sierra Leone,451,Africa,1,1,1998-10-24 00:00:00.000,1998-10-24 00:00:00.000,0,27,0,0,27,27,27,451.0,
38787,SIE-1998-1-131-39.4,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-07 ""Over 500 rebels killed in Sierra Leone - officer",,,,"ECOMOG officer, medical sources and witnesses",3,Kailahun district,Kailahun district,Eastern province,Kailahun district,8.166667,-10.75,POINT (-10.75 8.166667),141459,Sierra Leone,451,Africa,2,4,1998-10-24 00:00:00.000,1998-11-07 00:00:00.000,5,10,0,0,15,53,15,451.0,
38748,SIE-1998-1-131-39.2,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-07 ""Over 500 rebels killed in Sierra Leone - officer"", NPWJ, 280",,,,"ECOMOG officer, medical sources and witnesses",1,Quiva town,Quiva town,Eastern province,Kailahun district,7.95,-10.883333,POINT (-10.883333 7.95),140739,Sierra Leone,451,Africa,2,4,1998-10-24 00:00:00.000,1998-11-07 00:00:00.000,5,8,0,0,13,51,13,451.0,
38287,SIE-1998-1-131-39.1,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-07 ""Over 500 rebels killed in Sierra Leone - officer"", NPWJ, 280",,,,"ECOMOG officer, medical sources and witnesses",1,Pendembu town,Pendembu town,Eastern province,Kailahun district,7.95,-10.933333,POINT (-10.933333 7.95),140739,Sierra Leone,451,Africa,2,4,1998-10-24 00:00:00.000,1998-11-07 00:00:00.000,5,70,0,0,75,112,75,451.0,
38319,SIE-1998-1-131-39.3,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-07 ""Over 500 rebels killed in Sierra Leone - officer",,,,"ECOMOG officer, medical sources and witnesses",1,Ngeima town,Kailahun district (Ngeima town),Eastern province,Kailahun district,8.336621,-10.662156,POINT (-10.662156 8.336621),141459,Sierra Leone,451,Africa,2,4,1998-10-24 00:00:00.000,1998-11-07 00:00:00.000,5,11,0,0,16,53,16,451.0,
38740,SIE-1998-1-131-22,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Sierra Leone: 1998 - a year of atrocities against civilians, at http://www.amnesty.org/en/library/asset/AFR51/022/1998/en/e950eb45-d99d-11dd-af2b-b1f6023af0c5/afr510221998en.pdf",,,,,1,Romeni village,Romeni village,Northern province,Port Loko district,8.9,-12.71667,POINT (-12.71667 8.9),142175,Sierra Leone,451,Africa,1,1,1998-10-26 00:00:00.000,1998-10-26 00:00:00.000,0,4,0,0,4,4,4,451.0,
38830,SIE-1998-1-131-66,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002""",No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002,,1,Mongo Bendugu town,Mongo Bendugu town,Northern province,Koinadugu district,9.53333,-10.95,POINT (-10.95 9.53333),143619,Sierra Leone,451,Africa,1,1,1998-10-28 00:00:00.000,1998-10-28 00:00:00.000,1,0,0,0,1,10,1,451.0,
38276,SIE-1998-1-131-70,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002""",No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002,,2,Bureh Kasseh Makonte chiefdom,Bureh Kasseh Makonte chiefdom,Northern province,Port Loko district,8.91667,-12.85,POINT (-12.85 8.91667),142175,Sierra Leone,451,Africa,1,4,1998-11-01 00:00:00.000,1998-11-30 00:00:00.000,3,0,0,0,3,3,3,451.0,
38486,SIE-1998-1-131-29,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-10 ""70 dead in Sierra Leone rebel attack",,,,aid workers and ECOMOG soldiers,1,Pendembu town,Pendembu town,Northern province,Bombali district,9.1,-12.2,POINT (-12.2 9.1),142896,Sierra Leone,451,Africa,1,1,1998-11-09 00:00:00.000,1998-11-09 00:00:00.000,39,31,0,0,70,89,70,451.0,
38433,SIE-1998-1-131-62,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002""",No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002,,1,Kamalu village,Kamalu village,Northern province,Bombali district,9.396336,-12.239078,POINT (-12.239078 9.396336),142896,Sierra Leone,451,Africa,1,1,1998-11-14 00:00:00.000,1998-11-14 00:00:00.000,2,0,1,0,3,3,3,451.0,
38575,SIE-1998-1-131-30.1,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-28 ""Leone rebels routed in north, road to Guinea open",,,,military sources,1,Kamaranka town,Kamaranka village,Northern province,Bombali district,9.3,-12.21667,POINT (-12.21667 9.3),142896,Sierra Leone,451,Africa,1,2,1998-11-26 00:00:00.000,1998-11-28 00:00:00.000,0,12,0,0,12,12,12,451.0,
38884,SIE-1998-1-131-30.2,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-28 ""Leone rebels routed in north, road to Guinea open",,,,military sources,1,Makulon village,Makulon village,Northern province,Bombali district,9.333333,-12.266667,POINT (-12.266667 9.333333),142896,Sierra Leone,451,Africa,1,2,1998-11-26 00:00:00.000,1998-11-28 00:00:00.000,0,12,0,0,12,12,12,451.0,
38954,SIE-1998-1-131-30.3,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-11-28 ""Leone rebels routed in north, road to Guinea open",,,,military sources,1,Makabai  village,"Bombali district, Makabai village",Northern province,Bombali district,9.259309,-12.208598,POINT (-12.208598 9.259309),142896,Sierra Leone,451,Africa,1,2,1998-11-26 00:00:00.000,1998-11-28 00:00:00.000,0,11,0,0,11,11,11,451.0,
38836,SIE-1998-1-131-7,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Star Radio web site, Monrovia 1998-12-05, reported by BBC mon 1998-12-09 ""More than 70 rebels reportedly killed in clashes with Ecomog"", NPWJ, 203",,,,Ecomog,2,Rogberi Junction,"in Port Loko in southwestern Sierra Leone
 a main rebel base at Gbere, near Rokel River
near Ro-Gberray Junction (Maforki Chiefdom),",Northern province,Port Loko district,8.709614,-12.677553,POINT (-12.677553 8.709614),142175,Sierra Leone,451,Africa,2,2,1998-12-01 00:00:00.000,1998-12-04 00:00:00.000,0,71,0,0,71,71,71,451.0,
38932,SIE-1998-1-131-25,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,-1,"Reuters 1998-12-07 ""Resurgent rebels target Sierra Leone capital",,,,"Aid agencies, ECOMOG spokesman",2,Masiaka town,"Masiaka town (Gbere Bridge, near)",Northern province,Port Loko district,8.489681,-12.799864,POINT (-12.799864 8.489681),141455,Sierra Leone,451,Africa,1,1,1998-12-06 00:00:00.000,1998-12-06 00:00:00.000,0,51,0,0,51,51,51,451.0,
38885,SIE-1998-1-131-61,1998,1,Clear,1,382,382,Sierra Leone: Government,819,819,Government of Sierra Leone - AFRC,80,80,Government of Sierra Leone,533,533,AFRC,1,"""No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002""",No Peace Without Justice (NPWJ),2004-03-10,Conflict Mapping in Sierra Leone: Violations of International Humanitarian Law from 1991 to 2002,,1,Gbendembu town,Gbendembu town,Northern province,Bombali district,9.335142,-12.103264,POINT (-12.103264 9.335142),142896,Sierra Leone,451,Africa,1,1,1998-12-09 00:00:00.000,1998-12-09 00:00:00.000,23,1,0,0,24,26,24,451.0,
